from_frame,to_frame,na_index,dx_frac,dy_frac,dz_frac,step_frac
1706,1707,13,0.0004827399999999,0.0002520099999999,-0.00074717,0.0009245593310329
1861,1862,44,0.0008022599999999,-0.00034759,-0.00029958,0.000924222966659
1867,1868,44,0.00079932,-0.00036172,-0.0002882499999999,0.0009234943872596
990,991,9,-0.0005579999999999,-0.0004727199999999,0.0005626499999999,0.0009227151352936
278,279,14,-0.00081466,-1.0090000000073651e-05,0.0004327299999999,0.0009225117758598
603,604,39,-5.153999999996106e-05,0.0008033299999999,0.00045059,0.0009225111428053
721,722,10,-0.00033431,-0.00053547,-0.0006708599999999,0.0009211647174094
1007,1008,9,-0.00047207,-0.00057811,0.0005397299999999,0.0009210698832879
2227,2228,27,-0.0006037999999999,0.0003512399999999,-0.0006000899999999,0.0009208973806564
2232,2233,27,-0.00059232,0.0003422499999999,-0.00061578,0.000920414609456
1860,1861,44,0.0007982199999999,-0.0003439,-0.0002999699999999,0.0009194587425762
1756,1757,13,0.0005729799999999,0.0004013799999999,-0.0005964399999999,0.0009193218470153
1868,1869,44,0.0007943299999999,-0.00036252,-0.00028472,0.0009183933676262
595,596,39,-6.51499999999583e-05,0.0007872199999999,0.0004646499999999,0.000916438472239
989,990,9,-0.0005580399999999,-0.0004616,0.00055922,0.0009149919179971
2226,2227,27,-0.0006029,0.00035053,-0.0005921599999999,0.0009148842312008
269,270,14,-0.00080384,9.40000000060337e-07,0.0004359299999999,0.0009144367633138
2233,2234,27,-0.0005867699999999,0.0003379200000001,-0.000614,0.0009140486635294
1859,1860,44,0.0007929899999999,-0.00033989,-0.00029998,0.000913425614158
604,605,39,-5.005000000002369e-05,0.0007952399999999,0.00044389,0.0009121129273286
1869,1870,44,0.00078821,-0.0003628799999999,-0.00028072,0.000912009110097
3822,3823,26,-0.00058044,6.196000000002755e-05,-0.0006968599999999,0.000909045375545
279,280,14,-0.0008028999999999,-1.002999999999421e-05,0.00042591,0.0009089270262237
3821,3822,26,-0.00057298,6.240999999995722e-05,-0.00070272,0.0009088544915992
3823,3824,26,-0.0005872399999999,6.141000000003949e-05,-0.00069014,0.0009082484380938
1757,1758,13,0.00056992,0.00039881,-0.0005834,0.0009078622045773
988,989,9,-0.00055826,-0.0004506099999999,0.0005560599999999,0.0009076928573586
3820,3821,26,-0.0005648699999999,6.273000000001083e-05,-0.00070771,0.0009076709832863
2225,2226,27,-0.0006010899999999,0.0003491399999999,-0.0005828000000001,0.0009071183868162
722,723,10,-0.0003317,-0.0005203499999999,-0.00066451,0.0009068420769902
594,595,39,-6.70400000000182e-05,0.0007770699999999,0.00046206,0.0009065492761565
3824,3825,26,-0.00059342,6.070999999996385e-05,-0.00068257,0.0009064958937579
1858,1859,44,0.00078658,-0.0003355999999999,-0.0002997399999999,0.0009061895629502
1008,1009,9,-0.00045834,-0.00057464,0.00052965,0.000905988856278
2234,2235,27,-0.00058034,0.00033284,-0.0006106999999999,0.0009058319221577
3819,3820,26,-0.0005561,6.295000000000606e-05,-0.0007118099999999,0.0009054741236501
1705,1706,13,0.00046814,0.0002415399999999,-0.0007354899999999,0.0009046779378872
1870,1871,44,0.0007810999999999,-0.00036284,-0.0002763,0.0009044953098828
3825,3826,26,-0.0005989799999999,5.98699999999619e-05,-0.00067421,0.0009038365899873
706,707,10,-0.00027773,-0.00058955,-0.0006262499999999,0.0009038208992383
3818,3819,26,-0.00054666,6.313000000002233e-05,-0.0007150499999999,0.0009022854620351
343,344,29,0.00042107,-0.00078857,-0.00012042,0.0009020219322167
342,343,29,0.0004212399999999,-0.0007884099999999,-0.0001174099999999,0.0009015645144968
987,988,9,-0.00055876,-0.00043983,0.0005532699999999,0.0009009832736516
268,269,14,-0.00079115,3.199999999980996e-06,0.00043044,0.0009006703925965
3826,3827,26,-0.0006039399999999,5.887999999998339e-05,-0.0006651399999999,0.000900345265773
