na_index,msd_frac,mean_displacement_frac,max_displacement_frac,final_displacement_frac,mean_step_frac,max_step_frac,step_std_frac
27,0.0015163041700837,0.0347841460516471,0.0822229767167535,0.0476499841131914,0.0003389465072562,0.0009271041061282,0.00015792019529
28,0.0009377617452574,0.0287821827181048,0.0572754976823518,0.0348435275232029,0.0003790855659962,0.0008793958784301,0.0001772036552293
29,0.0016311582529712,0.0373300998178314,0.0694422354976414,0.0444228490223465,0.000359063499005,0.0009020219322167,0.0001471530547042
30,0.0007855314491224,0.0253055022205273,0.0660709620005051,0.0392582546531223,0.0003234446111316,0.0007504382198422,0.0001339304519371
31,0.0016558079549453,0.0376043854633054,0.0731348084968204,0.0253442777938334,0.0003811531150542,0.0008947349825506,0.0001728956408946
32,0.0024279801101973,0.0440990241266333,0.0898676625677968,0.0534592193349435,0.000342419396622,0.0008071527046352,0.0001389156139934
33,0.0028263701983238,0.0466967045044635,0.1161920531748333,0.0867701892467839,0.0003099988320684,0.0006482458843679,0.0001296578862174
34,0.001445871815594,0.0355974557672077,0.0811851250837251,0.0357923613507701,0.0003598239461417,0.0007568752299421,0.0001382815596909
35,0.0014067449070721,0.0352107493347312,0.0650976708293891,0.0604162580612014,0.00034572886616,0.0007563023794091,0.0001454179361062
36,0.0019993593735743,0.0427268192895496,0.0737805231212309,0.0376191733047152,0.000286905789301,0.0006954990758441,0.0001100704439345
37,0.001328097757364,0.0329613610709416,0.0694182276198758,0.0431509753512906,0.000309050056963,0.0006799118164144,0.0001220413007285
38,0.002645610796956,0.048146149771991,0.0829256274976819,0.023481855179998,0.0003957483362265,0.0008097886579843,0.0001481010709487
39,0.0010304706530335,0.0290623892729712,0.0621389652460403,0.0383302667653343,0.0003362977409393,0.0009385547076754,0.000163644311918
40,0.0028749895966879,0.0495125655993287,0.0856251704199524,0.0807275835594036,0.0003275245700693,0.0006731634982677,0.000136056726064
41,0.0020001636629264,0.0397625204152892,0.0890005466989124,0.0681709754195478,0.0003492732810549,0.0007299678395655,0.0001408558911586
42,0.0028427737630077,0.0491291484856724,0.0941396823880014,0.0781530790328218,0.0003843438304739,0.000772590100506,0.0001389033746071
43,0.0025866497811553,0.0450454465226643,0.0982600010618552,0.0474730794034197,0.0003906831833722,0.0008788798214773,0.0001674079320637
44,0.0012628600329108,0.0337104792325841,0.0558167762874433,0.0381969802947117,0.0003387375461663,0.0009303592719481,0.0001606905456099
45,0.0020474489133925,0.0428790369562537,0.0736220214611307,0.0709963103324912,0.0002823667544176,0.0007194302991256,0.0001218361959049
46,0.0018217356825536,0.0395499723420302,0.0810768022084961,0.0431116527812214,0.0003514924280395,0.0008069024432359,0.0001453978325857
47,0.0011104939880349,0.030881203603649,0.0634823054702442,0.0494273605463967,0.000337354084643,0.0007871115471139,0.0001462422370646
